iter	Passed	Remaining
447	1111	1369
448	1113	1366
449	1115	1363
450	1117	1360
451	1119	1357
452	1121	1354
453	1123	1351
454	1125	1348
455	1127	1344
456	1129	1342
457	1131	1339
458	1133	1336
459	1136	1334
460	1138	1331
461	1140	1328
462	1142	1325
463	1144	1321
464	1146	1318
465	1147	1315
466	1149	1312
467	1152	1309
468	1153	1306
469	1155	1303
470	1157	1300
471	1159	1297
472	1161	1294
473	1163	1291
474	1165	1287
475	1167	1284
476	1169	1281
477	1170	1278
478	1172	1275
479	1174	1272
480	1176	1269
481	1178	1266
482	1180	1263
483	1182	1260
484	1184	1257
485	1186	1254
486	1188	1252
487	1190	1249
488	1192	1246
489	1194	1243
490	1196	1240
491	1198	1237
492	1199	1233
493	1201	1231
494	1204	1228
495	1205	1225
496	1207	1222
497	1209	1219
498	1211	1216
499	1213	1213
500	1215	1210
501	1217	1207
502	1219	1205
503	1221	1201
504	1223	1199
505	1225	1196
506	1227	1193
507	1229	1190
508	1231	1187
509	1233	1184
510	1234	1181
511	1237	1179
512	1238	1176
513	1240	1173
514	1242	1169
515	1244	1167
516	1246	1164
517	1248	1161
518	1251	1159
519	1253	1156
520	1254	1153
521	1256	1150
522	1258	1148
523	1260	1145
524	1262	1142
525	1264	1139
526	1266	1136
527	1268	1133
528	1270	1130
529	1271	1127
530	1273	1124
531	1275	1122
532	1277	1119
533	1279	1116
534	1281	1113
535	1283	1110
536	1285	1108
537	1286	1105
538	1288	1102
539	1290	1099
540	1292	1096
541	1294	1093
542	1295	1090
543	1298	1088
544	1300	1085
545	1301	1082
546	1303	1079
547	1305	1076
548	1307	1074
549	1309	1071
550	1311	1068
551	1313	1066
552	1315	1063
553	1317	1060
554	1318	1057
555	1320	1054
556	1322	1051
557	1324	1049
558	1326	1046
559	1328	1044
560	1330	1041
561	1332	1038
562	1334	1035
563	1336	1033
564	1338	1030
565	1340	1027
566	1342	1025
567	1344	1022
568	1346	1019
569	1347	1016
570	1349	1014
571	1352	1011
572	1353	1008
573	1355	1006
574	1357	1003
575	1359	1000
576	1361	997
577	1362	995
578	1365	992
579	1367	989
580	1368	987
581	1370	984
582	1372	981
583	1374	979
584	1376	976
585	1378	973
586	1380	971
587	1382	968
588	1384	965
589	1386	963
590	1388	960
591	1390	958
592	1392	955
593	1394	953
594	1396	950
595	1398	947
596	1400	945
597	1401	942
598	1403	939
599	1405	937
600	1407	934
601	1409	931
602	1411	929
603	1413	926
604	1415	923
605	1416	921
606	1419	918
607	1420	916
608	1422	913
609	1424	910
610	1426	908
611	1427	905
612	1429	902
613	1431	899
614	1433	897
615	1435	894
616	1436	891
617	1438	889
618	1440	886
619	1442	884
620	1444	881
621	1446	878
622	1448	876
623	1449	873
624	1451	871
625	1453	868
626	1455	865
627	1457	863
628	1459	860
629	1461	858
630	1463	855
631	1465	853
632	1467	850
633	1469	848
634	1471	845
635	1473	843
636	1475	840
637	1476	838
638	1478	835
639	1480	832
640	1482	830
641	1484	827
642	1486	825
643	1488	822
644	1489	820
645	1491	817
646	1493	815
647	1495	812
648	1500	811
649	1503	809
650	1505	807
651	1508	805
652	1510	802
653	1512	800
654	1514	797
655	1516	794
656	1517	792
657	1519	789
658	1521	787
659	1523	784
660	1525	782
661	1527	779
662	1529	777
663	1530	774
664	1533	772
665	1535	769
666	1537	767
667	1538	764
668	1541	762
669	1543	759
670	1544	757
671	1546	755
672	1548	752
673	1550	749
674	1552	747
675	1554	745
676	1556	742
677	1558	740
678	1560	737
679	1562	735
680	1564	732
681	1566	730
682	1568	727
683	1570	725
684	1572	722
685	1574	720
686	1576	718
687	1577	715
688	1579	713
689	1581	710
690	1583	708
691	1585	705
692	1587	703
693	1588	700
694	1590	698
695	1592	695
696	1594	693
697	1596	690
698	1598	688
699	1600	685
700	1601	683
701	1603	680
702	1605	678
703	1607	676
704	1609	673
705	1611	671
706	1613	668
707	1615	666
708	1617	663
709	1619	661
710	1620	658
711	1623	656
712	1624	654
713	1626	651
714	1628	649
715	1630	646
716	1632	644
717	1634	641
718	1636	639
719	1638	637
720	1640	634
721	1642	632
722	1644	629
723	1645	627
724	1647	625
725	1649	622
726	1651	620
727	1653	617
728	1655	615
729	1657	613
730	1659	610
731	1661	608
732	1663	605
733	1665	603
734	1667	601
735	1669	598
736	1670	596
737	1672	593
738	1674	591
739	1676	589
740	1678	586
741	1679	584
742	1682	581
743	1683	579
744	1685	576
745	1687	574
746	1689	572
747	1691	569
748	1693	567
749	1695	565
750	1697	562
751	1698	560
752	1700	557
753	1702	555
754	1704	553
755	1706	550
756	1708	548
757	1709	545
758	1711	543
759	1713	541
760	1715	538
761	1717	536
762	1719	534
763	1720	531
764	1723	529
765	1724	526
766	1726	524
767	1728	522
768	1730	519
769	1732	517
770	1734	515
771	1736	512
772	1738	510
773	1740	508
774	1742	505
775	1743	503
776	1745	501
777	1747	498
778	1749	496
779	1751	493
780	1753	491
781	1755	489
782	1757	486
783	1758	484
784	1760	482
785	1762	479
786	1764	477
787	1766	475
788	1768	472
789	1770	470
790	1772	468
791	1774	466
792	1776	463
793	1778	461
794	1780	459
795	1782	456
796	1784	454
797	1785	452
798	1787	449
799	1789	447
800	1791	445
801	1793	442
802	1794	440
803	1797	438
804	1799	435
805	1800	433
806	1802	431
807	1804	428
808	1806	426
809	1808	424
810	1810	421
811	1812	419
812	1813	417
813	1815	414
814	1817	412
815	1819	410
816	1821	407
817	1823	405
818	1825	403
819	1826	401
820	1828	398
821	1830	396
822	1832	394
823	1834	391
824	1836	389
825	1852	390
826	1854	387
827	1855	385
828	1858	383
829	1859	380
830	1861	378
831	1863	376
832	1865	374
833	1867	371
834	1869	369
835	1871	367
836	1873	364
837	1875	362
838	1877	360
839	1879	357
840	1880	355
841	1882	353
842	1884	351
843	1886	348
844	1888	346
845	1890	344
846	1892	341
847	1893	339
848	1895	337
849	1897	334
850	1899	332
851	1901	330
852	1903	327
853	1905	325
854	1906	323
855	1908	321
856	1910	318
857	1912	316
858	1914	314
859	1915	311
860	1917	309
861	1919	307
862	1921	305
863	1923	302
864	1925	300
865	1927	298
866	1929	295
867	1930	293
868	1932	291
869	1934	289
870	1936	286
871	1938	284
872	1940	282
873	1941	279
874	1943	277
875	1945	275
876	1947	273
877	1949	270
878	1950	268
879	1952	266
880	1954	264
881	1956	261
882	1958	259
883	1960	257
884	1962	254
885	1964	252
886	1966	250
887	1967	248
888	1969	245
889	1971	243
890	1973	241
891	1975	239
892	1976	236
893	1978	234
894	1980	232
895	1982	230
896	1983	227
897	1986	225
898	1987	223
899	1989	221
900	1991	218
901	1993	216
902	1995	214
903	1996	212
904	1998	209
905	2000	207
906	2002	205
907	2004	203
908	2006	200
909	2008	198
910	2009	196
911	2011	194
912	2013	191
913	2015	189
914	2017	187
915	2018	185
916	2020	182
917	2022	180
918	2024	178
919	2026	176
920	2028	173
921	2029	171
922	2031	169
923	2033	167
924	2035	165
925	2037	162
926	2038	160
927	2040	158
928	2042	156
929	2044	153
930	2047	151
931	2049	149
932	2050	147
933	2052	145
934	2054	142
935	2056	140
936	2057	138
937	2059	136
938	2061	133
939	2063	131
940	2065	129
941	2067	127
942	2068	125
943	2070	122
944	2072	120
945	2074	118
946	2076	116
947	2077	113
948	2079	111
949	2081	109
950	2083	107
951	2084	105
952	2086	102
953	2088	100
954	2090	98
955	2095	96
956	2098	94
957	2100	92
958	2102	89
959	2105	87
960	2107	85
961	2109	83
962	2111	81
963	2112	78
964	2115	76
965	2116	74
966	2118	72
967	2120	70
968	2121	67
969	2123	65
970	2125	63
971	2127	61
972	2129	59
973	2130	56
974	2132	54
975	2134	52
976	2136	50
977	2138	48
978	2140	45
979	2142	43
980	2144	41
981	2145	39
982	2148	37
983	2149	34
984	2151	32
985	2153	30
986	2155	28
987	2157	26
988	2159	24
989	2161	21
990	2163	19
991	2165	17
992	2167	15
993	2169	13
994	2171	10
995	2173	8
996	2175	6
997	2177	4
998	2179	2
999	2181	0
